Age:3month
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
SI_Wall  1.068E-22 1.869E-13 1.120E-20 5.629E-21 2.172E-15 4.029E-23 2.399E-22 6.362E-23 2.360E-15 2.399E-22 6.362E-23
ULI_Wall 4.286E-22 2.911E-20 3.397E-13 4.041E-21 2.172E-15 3.343E-23 2.591E-22 6.826E-23 2.360E-15 2.591E-22 6.826E-23
LLI_Wall 2.747E-23 1.135E-20 1.053E-21 5.536E-13 2.172E-15 3.647E-22 6.766E-22 1.786E-22 2.360E-15 6.766E-22 1.786E-22
Kidneys  5.932E-23 6.721E-23 4.763E-23 1.449E-23 2.172E-15 6.954E-24 1.221E-22 4.487E-23 2.360E-15 1.221E-22 4.487E-23
Liver    4.311E-23 8.982E-23 1.249E-22 5.653E-24 2.172E-15 4.944E-24 8.604E-23 4.718E-23 2.360E-15 8.604E-23 4.718E-23
ET1-bas  2.306E-24 7.242E-25 1.067E-24 5.824E-25 2.172E-15 3.917E-25 3.234E-23 4.146E-23 2.360E-15 3.234E-23 4.146E-23
ET2-bas  2.306E-24 7.242E-25 1.067E-24 5.824E-25 2.172E-15 3.917E-25 3.234E-23 4.146E-23 2.360E-15 3.234E-23 4.146E-23
LN-ET    2.306E-24 7.242E-25 1.067E-24 5.824E-25 2.172E-15 3.917E-25 3.234E-23 4.146E-23 2.360E-15 3.234E-23 4.146E-23
BBi-bas  6.854E-23 4.761E-24 6.186E-24 2.464E-24 2.172E-15 1.269E-24 1.512E-22 8.126E-23 2.360E-15 1.512E-22 8.126E-23
BBi-sec  6.854E-23 4.761E-24 6.186E-24 2.464E-24 2.172E-15 1.269E-24 1.512E-22 8.126E-23 2.360E-15 1.512E-22 8.126E-23
bbe-sec  6.854E-23 4.761E-24 6.186E-24 2.464E-24 2.172E-15 1.269E-24 1.512E-22 8.126E-23 2.360E-15 1.512E-22 8.126E-23
AI       6.854E-23 4.761E-24 6.186E-24 2.464E-24 2.172E-15 1.269E-24 1.512E-22 8.126E-23 2.360E-15 1.512E-22 8.126E-23
LN-Th    6.854E-23 4.761E-24 6.186E-24 2.464E-24 2.172E-15 1.269E-24 1.512E-22 8.126E-23 2.360E-15 1.512E-22 8.126E-23
Muscle   3.022E-22 4.850E-22 2.388E-22 3.521E-22 2.172E-15 4.831E-22 3.103E-22 2.231E-22 2.360E-15 3.103E-22 2.231E-22
Ovaries  1.402E-23 5.193E-21 4.630E-21 1.267E-20 2.172E-15 1.608E-22 8.421E-23 2.457E-23 2.360E-15 8.421E-23 2.457E-23
Pancreas 3.429E-21 2.493E-23 2.896E-23 1.158E-23 2.172E-15 5.198E-24 5.021E-23 2.229E-23 2.360E-15 5.021E-23 2.229E-23
R_Marrow 2.830E-23 2.195E-22 1.066E-22 3.714E-22 2.172E-15 1.563E-23 4.983E-14 4.170E-21 2.360E-15 3.488E-14 4.170E-21
Skin     2.602E-23 1.194E-23 1.271E-23 6.056E-23 2.172E-15 2.873E-23 2.051E-22 2.102E-22 2.360E-15 2.051E-22 2.102E-22
Spleen   4.325E-22 2.211E-23 2.034E-23 1.378E-23 2.172E-15 4.616E-24 6.517E-23 3.480E-23 2.360E-15 6.517E-23 3.480E-23
Testes   2.443E-24 8.348E-24 7.285E-24 3.507E-23 2.172E-15 1.009E-22 7.216E-24 9.167E-24 2.360E-15 7.216E-24 9.167E-24
Thymus   1.237E-23 2.704E-24 3.046E-24 1.720E-24 2.172E-15 1.116E-24 1.155E-22 6.015E-23 2.360E-15 1.155E-22 6.015E-23
Thyroid  2.306E-24 7.242E-25 1.067E-24 5.824E-25 2.172E-15 3.917E-25 3.234E-23 4.146E-23 2.360E-15 3.234E-23 4.146E-23
GB_Wall  5.625E-23 4.418E-22 1.547E-21 1.399E-23 2.172E-15 9.617E-24 2.220E-23 9.431E-24 2.360E-15 2.220E-23 9.431E-24
Ht_Wall  8.418E-23 6.526E-24 8.664E-24 3.386E-24 2.172E-15 1.631E-24 7.481E-23 3.817E-23 2.360E-15 7.481E-23 3.817E-23
Uterus   1.264E-23 1.216E-21 1.042E-22 1.444E-22 2.172E-15 2.051E-21 2.776E-23 1.012E-23 2.360E-15 2.776E-23 1.012E-23
